Date,Type,Confirmation Code,Listing,Details,Reference code,Currency,Amount,Paid out
10/12/2024,Reservation,HM9RNT5ZBJ,Private Double Room in  Potts Point /Share Bthroom,,,AUD,108.21,
10/12/2024,Reservation,HMXEWQM89S,Private Double Room in  Potts Point /Share Bthroom,,,AUD,435.87,
10/10/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yG8bAOfTgMFnA5zQEWMtLa,AUD,,124.24
10/10/2024,Reservation,HMD4Y859HE,Triple Room Shared Bathroom,,,AUD,124.24,
10/07/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06xjqPu9BI45MX5yMEHUAITH,AUD,,108.22
10/07/2024,Reservation,HMFJTRBA8B,Private Double Room in  Potts Point /Share Bthroom,,,AUD,108.22,
10/06/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06sohPVYNaaJ8iuIxy8qb9k5,AUD,,157.65
10/06/2024,Reservation,HMWHTYSRDR,Triple Room Shared Bathroom,,,AUD,157.65,
10/06/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zGIgpLqqI5loU9K2gkkfM7,AUD,,110.89
10/06/2024,Reservation,HM2YEWHSCM,Affordable single bed room near everything,,,AUD,110.89,
10/05/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06vySqCzM7XAg83tpEyhg7I21,AUD,,843.37
10/05/2024,Reservation,HM2HMCNXXR,Private Double Room in  Potts Point /Share Bthroom,,,AUD,213.77,
10/05/2024,Reservation,HM5MQAZCBZ,Private Double Room in  Potts Point /Share Bthroom,,,AUD,213.77,
10/05/2024,Reservation,HM2DN29SWD,Triple Room Shared Bathroom,,,AUD,308.95,
10/05/2024,Reservation,HMD2X5859Y,Private Double Room in  Potts Point /Share Bthroom,,,AUD,106.88,
10/05/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zEUJ3Ygkw6ZHZjg9yoz6Wn0,AUD,,561.62
10/05/2024,Reservation,HMFNRNXPRE,Affordable single bed room near everything,,,AUD,561.62,
10/04/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zA3iL2zL99AxtTUPVsbF2m,AUD,,950.23
10/04/2024,Reservation,HM9FY3YQR4,Family Room Sleeps 4,,,AUD,950.23,
09/29/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06ymt2sjprA7ImAaRDJ2L6US,AUD,,120.65
09/29/2024,Reservation,HM9N5XWXQD,Private Double Room in  Potts Point /Share Bthroom,,,AUD,120.65,
09/28/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06wjZUMf4ZK8zMq4CHh9MKrA,AUD,,208.67
09/27/2024,Reservation,HMFTD9SSXF,Affordable single bed room near everything,,,AUD,674.28,
09/15/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06wv0J6UVLqrKjQBxJoCt7NB,AUD,,410.82
09/15/2024,Reservation,HMBEKPCJDB,Private Double Room in  Potts Point /Share Bthroom,,,AUD,215.43,
09/15/2024,Reservation,HMTZEHFRMX,Family Room Sleeps 4,,,AUD,195.39,
9/12/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06v1CGsbzXw2Zo5Pe2IOzUy31,AUD,,88.01
9/12/2024,Reservation,HMFTT2DEJE,Private Double Room in  Potts Point /Share Bthroom,,,AUD,88.01,
08/25/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yhfqC9qNYF2LDSy8Yz1bPg1,AUD,,155.59
08/25/2024,Reservation,HMS3Z5MZDM,Affordable single bed room near everything,,,AUD,77.79,
08/25/2024,Reservation,HMHBKPPJRB,Affordable single bed room near everything,,,AUD,77.8,
08/22/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06t6dvdKyeARyByz8maKoLoM0,AUD,,66.44
08/22/2024,Reservation,HMBMS3EKW2,Affordable single bed room near everything,,,AUD,66.44,
8/11/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06qgnL87SrKqDbKOLc68EaG5,AUD,,302.1
8/11/2024,Reservation,HMAAWJM82H,Private Double Room in  Potts Point /Share Bthroom,,,AUD,119.24,
8/11/2024,Reservation,HM4NHMTBNF,Triple Room Shared Bathroom,,,AUD,182.86,
8/07/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06ntDnzazYH2Mh4D3LLlE0SL,AUD,,708.91
8/07/2024,Reservation,HMWFW3FSMQ,Double bed with en suite,,,AUD,708.91,
8/04/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06w3zl8pgogVEN3JlllEgM77,AUD,,157.81
8/04/2024,Reservation,HMJQFHWP54,Triple Ensuite Room,,,AUD,157.81,
07/24/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yuBvMlnww20MZzJwE5SJXL,AUD,,998.53
07/24/2024,Reservation,HMDCXYQMFR,Family Room Sleeps 4,,,AUD,998.53,
07/16/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06rR2layQSoGqop9pozKi49c,AUD,,363.23
07/16/2024,Reservation,HMFQHXZY5W,Family Room Sleeps 4,,,AUD,363.23,
7/07/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06wmeSbgUjq4paYSzoQTHT8Q,AUD,,178.69
7/07/2024,Reservation,HMHNQWFZHT,Family Room Sleeps 4,,,AUD,178.69,
7/02/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06q2a6O4xO4gTbZ488yrxIbD,AUD,,258.85
7/02/2024,Reservation,HM8RCC3W9H,Triple Room Shared Bathroom,,,AUD,258.85,
6/09/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zqmYG5zb19JvqjTv6HJHmQ,AUD,,287.24
6/09/2024,Reservation,HM2MJ9B8HN,Triple Room Shared Bathroom,,,AUD,287.24,
6/09/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06mEXtuC9oaJoWUgaZDqfusA,AUD,,457.58
6/09/2024,Reservation,HM9EJZ4C5D,Family Room Sleeps 4,,,AUD,192.05,
6/09/2024,Reservation,HMK9Q3N5B9,Private Double Room in  Potts Point /Share Bthroom,,,AUD,265.53,
6/07/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06mzbTyt3mD5a8ONSSLq3ToR,AUD,,423.35
6/07/2024,Reservation,HMJTFRMHTJ,Triple Room Shared Bathroom,,,AUD,423.35,
05/20/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yQLgGbrRYTpLky7zWq344R1,AUD,,248
05/20/2024,Reservation,HMMXR9FDJB,Affordable single bed room near everything,,,AUD,248,
5/03/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06r4rfjfKQKyDJwM73spHfYQ,AUD,,96.03
5/03/2024,Reservation,HMMK4AK4EQ,Private Double Room in  Potts Point /Share Bthroom,,,AUD,96.03,
04/19/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06uIbEiTzVI1ooA2CsHkyozm0,AUD,,511.02
04/19/2024,Reservation,HMR89RHQJR,Family Room Sleeps 4,,,AUD,511.02,
04/18/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06y27fvIlWg82Hh0g5DRvBTP,AUD,,116.07
04/18/2024,Reservation,HMTZYKYJS3,Triple Room Shared Bathroom,,,AUD,116.07,
4/06/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zNZ14zi2n0zKHok4Tit3gp0,AUD,,424.18
4/06/2024,Reservation,HMJYHY3W2H,Triple Room Shared Bathroom,,,AUD,424.18,
4/04/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06u4bzsIO623tpFexxjlXOWE,AUD,,217.1
4/04/2024,Reservation,HMNFPYS4QY,Private Double Room in  Potts Point /Share Bthroom,,,AUD,217.1,
03/31/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06ytSpicAvY8zhIsiMOxLipe,AUD,,141.11
03/31/2024,Reservation,HMS3JKKCNK,Private Double Room in  Potts Point /Share Bthroom,,,AUD,141.11,
03/30/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zppcLa84QU8HUiJeu7fpyg,AUD,,112.72
03/30/2024,Reservation,HMXBEJFXT2,Affordable single bed room near everything,,,AUD,112.72,
03/25/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06o2NHpz8AAB1KU7lBBnQOKB,AUD,,242.15
03/25/2024,Reservation,HM5RXJSF9X,Triple Room Shared Bathroom,,,AUD,242.15,
03/22/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tRutLEf7KMUlqXuqmlOOL3,AUD,,121.07
03/22/2024,Reservation,HM5XFT5BXY,Triple Room Shared Bathroom,,,AUD,121.07,
03/19/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06vRY7eMGPKljWXvg5NIrJh6,AUD,,511.02
03/19/2024,Reservation,HMHN8B5BQK,Family Room Sleeps 4,,,AUD,511.02,
3/06/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06vxSj7zY2oCdMDENGO04Ei8,AUD,,974.74
3/06/2024,Reservation,HMNBMTABR3,Double bed with en suite,,,AUD,974.74,
3/01/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tuLnrELv4RSimv0rFEZmY0,AUD,,1147.29
3/01/2024,Reservation,HM4YFSP9AW,Double bed with en suite,,,AUD,827.48,
3/01/2024,Reservation,HMKEWHY98M,Double bed with en suite,,,AUD,319.81,
02/25/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06nK7baz8XgHCKK2hD60AP4V,AUD,,292.25
02/25/2024,Reservation,HMXR5CT2EN,Affordable single bed room near everything,,,AUD,292.25,
02/23/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06tvgJxCzFI6ELiDIrggRFtQ,AUD,,1027.05
02/23/2024,Reservation,HMK4CCFF9R,Family Room Sleeps 4,,,AUD,1027.05,
02/18/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06mOjXbeCfqYIbdty9guf70F,AUD,,375.75
02/18/2024,Reservation,HMKY5QQ9YR,Triple Room Shared Bathroom,,,AUD,375.75,
02/16/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06x5MXI3pOaZ7fEeZa45uAyT,AUD,,121.07
02/16/2024,Reservation,HM9XRNZBT8,Affordable single bed room near everything,,,AUD,121.07,
02/14/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06s0RCYexBKfxfQXqTxkcyO5,AUD,,225.45
02/14/2024,Reservation,HMJE4CN2AD,Affordable single bed room near everything,,,AUD,225.45,
02/14/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yHI4cswU20yglWxc9KwyZO0,AUD,,161.99
02/14/2024,Reservation,HMN5W8NBKP,Double bed with en suite,,,AUD,161.99,
02/13/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zyzFHPXBkaOSgkqqa6V8Ak0,AUD,,363.52
02/13/2024,Cancellation Fee,HME4TAAH85,Affordable single bed room near everything,,,AUD,-147.5,
02/13/2024,Reservation,HM3ZKSATTJ,Family Room Sleeps 4,,,AUD,511.02,
2/08/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06v9ViIkwcqdFejMIhRGzo8D,AUD,,145.29
2/08/2024,Reservation,HMQJ4B5AMY,Double bed with en suite,,,AUD,145.29,
2/04/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06yRhT0R7AgRwJjT3yaCdF5H,AUD,,133.6
2/04/2024,Reservation,HMPBQXJMKB,Affordable single bed room near everything,,,AUD,133.6,
2/02/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zODQXcNwIFMMVVcaqXjBQF,AUD,,245.49
2/02/2024,Reservation,HMQF9HTH4D,Double bed with en suite,,,AUD,245.49,
01/27/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06vhF4Yftm4kZdRvkM0CWN70,AUD,,132.77
01/27/2024,Reservation,HM3ATNC9FK,Triple Room Shared Bathroom,,,AUD,132.77,
01/22/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06wyXnsRBhYHGqjGQB00RV87,AUD,,107.71
01/22/2024,Reservation,HMRCJ8Q489,Affordable single bed room near everything,,,AUD,107.71,
01/20/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06x2bUrrBia9KWLs1y6bAAN8,AUD,,107.71
01/20/2024,Reservation,HMXDBXJ5NP,Affordable single bed room near everything,,,AUD,107.71,
01/20/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06sQURN3Rta8ztrFUPUqR3OP,AUD,,494.32
01/20/2024,Reservation,HMA3RFZ2NJ,Affordable single bed room near everything,,,AUD,315.63,
01/20/2024,Reservation,HM95S234A2,Family Room Sleeps 4,,,AUD,178.69,
01/19/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06zegKAzwbyZST6jq8R5sJ9c1,AUD,,325.66
01/19/2024,Reservation,HMEDK8YZDD,Affordable single bed room near everything,,,AUD,162.83,
01/19/2024,Reservation,HMXDBXJ5NP,Affordable single bed room near everything,,,AUD,162.83,
01/18/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06o6qDVhMn4E7gMiPsUNHlo9,AUD,,533.56
01/18/2024,Reservation,HMBZ2N395K,Double bed with en suite,,,AUD,212.92,
01/18/2024,Reservation,HMYT9QEBC8,Double bed with en suite,,,AUD,320.64,
01/16/2024,Payout,,,"Transfer to AGAF PTY LTD, Checking •••••1351 (AUD)",0MS06rOzFZmp5gTUozQSYfxzODV0,AUD,,116.07
01/16/2024,Reservation,HMWJ9N8N9A,Triple Room Shared Bathroom,,,AUD,116.07,
01/16/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06s5yheDgtoBuMbp4K3GTfvH,AUD,,522
01/16/2024,Reservation,HMEQRHXA4S,Double bed with en suite,,,AUD,522,
01/15/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06r9qLIR9VKquhE1HQ5gd8wC,AUD,,313.12
01/15/2024,Reservation,HMEQRHXA4S,Double bed with en suite,,,AUD,313.12,
01/14/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06wymsAKK1QGQHFee93sqAJK,AUD,,248.84
01/14/2024,Reservation,HMB9W2MA95,Triple Room Shared Bathroom,,,AUD,248.84,
01/13/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06mbr3xrSHqrmeIiz3cfmLWQ,AUD,,111.89
01/13/2024,Reservation,HMQHC3BR2E,Double bed with en suite,,,AUD,111.89,
1/12/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06wKwd8V6K46TfX4cjy84fvO,AUD,,232.13
1/12/2024,Reservation,HM4R3PAH49,Triple Room Shared Bathroom,,,AUD,232.13,
1/11/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06mcsV4VXY4MDZ1SvUM5nHcE,AUD,,691.55
1/11/2024,Reservation,HMSMDRY8SK,Double bed with en suite,,,AUD,691.55,
1/06/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06t6ES1qq5KJSXZBUCALchtA,AUD,,344.85
1/06/2024,Reservation,HMSE2JMPCX,Family Room Sleeps 4,,,AUD,344.85,
1/05/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06qs4ole9yA8RqYU4vnhGsSD,AUD,,499.33
1/05/2024,Reservation,HMDFQ5AXHC,Triple Room Shared Bathroom,,,AUD,499.33,
1/05/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06photCpylwUottD6P5THqGB,AUD,,107.72
1/05/2024,Reservation,HM3PWKWBCQ,Affordable single bed room near everything,,,AUD,107.72,
1/04/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06y7XzfIXb9Fwx2c9Gtgzthi1,AUD,,212.09
1/04/2024,Reservation,HM3PWKWBCQ,Affordable single bed room near everything,,,AUD,212.09,
1/02/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06yrCIQgXxIChpGlD7Jj7t71,AUD,,374.07
1/02/2024,Reservation,HMCWKCNYPT,Triple Room Shared Bathroom,,,AUD,374.07,
1/01/2024,Payout,,,"Transfer to ALRAY PTY LTD, Checking •••••1109 (AUD)",0MS06pwTldprQq1gkK2yt2YONh0,AUD,,1555.6
1/01/2024,Reservation,HMWYHJZ3HB,Affordable single bed room near everything,,,AUD,475.11,
1/01/2024,Reservation,HMMAEW8T3B,Affordable single bed room near everything,,,AUD,299.77,
1/01/2024,Reservation,HMW48TS8WW,Double bed with en suite,,,AUD,780.72,
